Store,MCC,Type,Timestamp,Processing Time (s)
Korean Airlines,3082,Korean Airlines,2024-10-31 15:46:42,3.91
Mount Alvernia Hospital,8062,Hospitals,2024-10-31 15:46:46,4.04
Collin'S Grille,5812,Eating Places and Restaurants,2024-10-31 15:46:50,4.05
Birds Of Paradise,5812,Eating Places and Restaurants,2024-10-31 15:46:54,3.67
Allianz Travel Insurance,6300,"Insurance Sales, Underwriting, and Premiums",2024-10-31 15:46:58,3.93
World Of Hyatt Points Purchase,7399,"Business Services, Not Elsewhere Classified",2024-10-31 15:47:02,4.32
Food Junction,5814,Fast Food Restaurants,2024-10-31 15:47:06,4.26
Aesop,5977,Cosmetic Stores,2024-10-31 15:47:11,4.32
Raffles Hospital,8062,Hospitals,2024-10-31 15:47:14,3.62
Istudio,5732,Electronics Sale,2024-10-31 15:47:19,4.32
Whizcomms,4816,Computer Network Services,2024-10-31 15:47:23,4.28
Paradise Group,5812,Eating Places and Restaurants,2024-10-31 15:47:27,4.26
Skyscanner,4722,Travel Agencies and Tour Operations,2024-10-31 15:47:31,4.3
Heavenly Wang,5812,Eating Places and Restaurants,2024-10-31 15:47:36,4.44
Virgin Active,7298,Health and Beauty Shops,2024-10-31 15:47:40,3.9
Louis Vuitton,5631,Women’s Accessory and Specialty Shops,2024-10-31 15:47:44,4.3
Pet Lovers Centre,5995,"Pet Shops, Pet Foods, and Supplies Stores",2024-10-31 15:47:48,4.26
Fragrance Bak Kwa,5499,Miscellaneous Food Stores – Convenience Stores and Specialty Markets,2024-10-31 15:47:53,4.25
Japan Airlines,3006,Japan Airlines,2024-10-31 15:47:57,4.25
Swee Heng,5814,Fast Food Restaurants,2024-10-31 15:48:01,4.28
Sinopec,5541,Service Stations with Or Without Ancillary Services,2024-10-31 15:48:05,3.87
Ps Cafe,5812,Eating Places and Restaurants,2024-10-31 15:48:09,3.62
Metro,5311,Department Stores,2024-10-31 15:48:13,4.46
Marche,5813,"Drinking Places alcoholic Beverages, Bars, Taverns, Cocktail Lounges, Nightclubs and Discotheques",2024-10-31 15:48:17,4.27
Fortytwo,5712,"Furniture, Home Furnishings, and Equipment Stores, Except Appliances",2024-10-31 15:48:22,4.26
Gong Cha,5814,Fast Food Restaurants,2024-10-31 15:48:26,4.44
Smile Dental Group,8021,Dentists and Orthodontists,2024-10-31 15:48:30,3.91
Hl Assurance Travel Insurance,6300,"Insurance Sales, Underwriting, and Premiums",2024-10-31 15:48:34,3.74
Yakiniku Like,5812,Eating Places and Restaurants,2024-10-31 15:48:38,4.22
Cotton On,5691,Men’s and Women’s Clothing Stores,2024-10-31 15:48:42,4.23
